Volcano Name,Volcano Code
Royal Society Range,RSR
Ruang,RUG
Ruapehu,RUA
Ruby,RUB
Rudakov,RUD
"Ruiz, Nevado del",RZN
Rumble II West,RIW
Rumble III,RMI
Rumble IV,RUI
Rumble V,RUV
Rungwe,RUN
Süphan Dagi,SPD
Saba,SAA2
Sabalan,SAB
Sabancaya,SAA1
"Sacabaya, Volcan de",SCV
Saddle Butte,SDB
Sahand,SAA
Sairecabur,SAR1
Sakar,SAK
Sakura-jima,SAU
Salak,SAL
Salton Buttes,SLB
San Borja Volc Field,SBV
San Carlos,SAC
San Cristóbal,SRC
San Cristobal Chatham,SCC
San Diego,SAD
San Félix,SNF
San Joaquin,SAJ
San Jorge,SOJ
San José,SNJ
"San Luis, Isla",SLI
San Marcelino,SCM
San Martín,SRM
San Miguel,SGM
San Pablo Volc Field,SPV
San Pedro,SNP
San Pedro-Pellado,SPP
San Quintin Volc Field,SQV
San Salvador,SNS
San Vicente,SNV
Sanbe,SAE
Sand Mountain Field,SMF
Sanford,SAF
Sangangüey,SAY
Sangay,SAY1
Sangeang Api,SNA
"Sano, Wai",SAW
Santa Ana,STA
Santa Clara,SNC
Santa Cruz,SZC
Santa Isabel,SAI
"Santa Isable, Cerro",SIT
Santa María,SAM1
Santiago,SAO1
"Santiago, Cerro",STC
Santo Tomas,SNT
Santorini,SAN
Sao Tome,SAT
Sao Vicente,SOV
Sara Sara,SRS
Sarigan,SAR
Sarik-Gajah,SAG
Sarychev Peak,SAP
Satah Mountain,SAM
Savai'i,SAV
Savo,SAO
"Sawâd, Harra es-",SAH
Schmidt,SCH
Seal Nunataks Group,SNU
Seamount X,SEX
Sedankinsky,SED
Segererua Plateau,SEP
Seguam,SEM1
Segula,SEG
Sekincau Belirang,SEB
Semeru,SEM
Semisopochnoi,SEI
Sempu,SEU
